date,model,horizon,forecast,actual
2010-01-01,AR_lags,1,-0.07552134297931433,-0.08701126036717206
2010-01-01,AR+_lags,1,-0.08270378791113363,-0.08701126036717206
2010-01-01,AR_ranks,1,-0.16706156569215114,-0.08701126036717206
2010-02-01,RW,1,-0.08701126036717206,-0.07081274549262477
2010-02-01,AR(1) on YoY,1,-0.08196000852706245,-0.07081274549262477
2010-02-01,AR_lags,1,-0.09589668712835417,-0.07081274549262477
2010-02-01,AR+_lags,1,-0.10041299560710651,-0.07081274549262477
2010-02-01,AR_ranks,1,-0.11764431044918498,-0.07081274549262477
2010-03-01,RW,1,-0.07081274549262477,-0.07431307711565083
2010-03-01,AR(1) on YoY,1,-0.06676316306698576,-0.07431307711565083
2010-03-01,AR_lags,1,-0.07448747361076821,-0.07431307711565083
2010-03-01,AR+_lags,1,-0.07673289298831555,-0.07431307711565083
2010-03-01,AR_ranks,1,-0.0625127513616784,-0.07431307711565083
2010-04-01,RW,1,-0.07431307711565083,-0.08490969133821598
2010-04-01,AR(1) on YoY,1,-0.07009324419138535,-0.08490969133821598
2010-04-01,AR_lags,1,-0.07494690673670605,-0.08490969133821598
2010-04-01,AR+_lags,1,-0.07486444456853841,-0.08490969133821598
2010-04-01,AR_ranks,1,-0.04283564506475356,-0.08490969133821598
2010-05-01,RW,1,-0.08490969133821598,-0.0595870169632251
2010-05-01,AR(1) on YoY,1,-0.08011140201734022,-0.0595870169632251
2010-05-01,AR_lags,1,-0.047376329692059876,-0.0595870169632251
2010-05-01,AR+_lags,1,-0.048767711414716114,-0.0595870169632251
2010-05-01,AR_ranks,1,-0.04799070047443025,-0.0595870169632251
2010-06-01,RW,1,-0.0595870169632251,-0.06420987534299094
2010-06-01,AR(1) on YoY,1,-0.05633320640299974,-0.06420987534299094
2010-06-01,AR_lags,1,-0.05465057384196521,-0.06420987534299094
2010-06-01,AR+_lags,1,-0.05903045324404331,-0.06420987534299094
2010-06-01,AR_ranks,1,-0.05903429679680527,-0.06420987534299094
2010-07-01,RW,1,-0.06420987534299094,-0.08240177051186404
2010-07-01,AR(1) on YoY,1,-0.060697607807806024,-0.08240177051186404
2010-07-01,AR_lags,1,-0.060408037559988775,-0.08240177051186404
2010-07-01,AR+_lags,1,-0.06024479003110273,-0.08240177051186404
2010-07-01,AR_ranks,1,-0.04153307729427926,-0.08240177051186404
2010-08-01,RW,1,-0.08240177051186404,-0.09367802734003838
2010-08-01,AR(1) on YoY,1,-0.07782696916016499,-0.09367802734003838
2010-08-01,AR_lags,1,-0.06202945987730821,-0.09367802734003838
2010-08-01,AR+_lags,1,-0.06258226999926707,-0.09367802734003838
2010-08-01,AR_ranks,1,-0.05914601620949178,-0.09367802734003838
2010-09-01,RW,1,-0.09367802734003838,-0.07810212216612378
2010-09-01,AR(1) on YoY,1,-0.0885131685980689,-0.07810212216612378
2010-09-01,AR_lags,1,-0.08741125132204713,-0.07810212216612378
2010-09-01,AR+_lags,1,-0.08719696583356834,-0.07810212216612378
2010-09-01,AR_ranks,1,-0.06929502666915087,-0.07810212216612378
2010-10-01,RW,1,-0.07810212216612378,-0.018314543835621738
2010-10-01,AR(1) on YoY,1,-0.07387381293798208,-0.018314543835621738
2010-10-01,AR_lags,1,-0.051722618964432254,-0.018314543835621738
2010-10-01,AR+_lags,1,-0.05423480591851391,-0.018314543835621738
2010-10-01,AR_ranks,1,-0.08379612149208268,-0.018314543835621738
2010-11-01,RW,1,-0.018314543835621738,-0.021115664552503095
2010-11-01,AR(1) on YoY,1,-0.01784010792246764,-0.021115664552503095
2010-11-01,AR_lags,1,-0.039054440129535704,-0.021115664552503095
2010-11-01,AR+_lags,1,-0.04367521111656022,-0.021115664552503095
2010-11-01,AR_ranks,1,-0.06297793180707464,-0.021115664552503095
2010-12-01,RW,1,-0.021115664552503095,-0.017473935901464916
2010-12-01,AR(1) on YoY,1,-0.020456941960291172,-0.017473935901464916
2010-12-01,AR_lags,1,0.00149661780841859,-0.017473935901464916
2010-12-01,AR+_lags,1,0.0006458972433945418,-0.017473935901464916
2010-12-01,AR_ranks,1,-0.010764116390550856,-0.017473935901464916
2011-01-01,RW,1,-0.017473935901464916,-0.04565803844433317
2011-01-01,AR(1) on YoY,1,-0.017061689012424885,-0.04565803844433317
2011-01-01,AR_lags,1,-0.021163518450501777,-0.04565803844433317
2011-01-01,AR+_lags,1,-0.023806357356525972,-0.04565803844433317
2011-01-01,AR_ranks,1,-0.01148031539952642,-0.04565803844433317
2011-02-01,RW,1,-0.04565803844433317,-0.04961537936253683
2011-02-01,AR(1) on YoY,1,-0.043373196089902276,-0.04961537936253683
2011-02-01,AR_lags,1,-0.045874811699504116,-0.04961537936253683
2011-02-01,AR+_lags,1,-0.043315737495302965,-0.04961537936253683
2011-02-01,AR_ranks,1,-0.008026507594600121,-0.04961537936253683
2011-03-01,RW,1,-0.04961537936253683,-0.0386436815545362
2011-03-01,AR(1) on YoY,1,-0.047088234273403244,-0.0386436815545362
2011-03-01,AR_lags,1,-0.047146819444971386,-0.0386436815545362
2011-03-01,AR+_lags,1,-0.04617814672159069,-0.0386436815545362
2011-03-01,AR_ranks,1,-0.03914450534380125,-0.0386436815545362
2011-04-01,RW,1,-0.0386436815545362,-0.03248043549107423
2011-04-01,AR(1) on YoY,1,-0.036848073852000125,-0.03248043549107423
2011-04-01,AR_lags,1,-0.03867073174638918,-0.03248043549107423
2011-04-01,AR+_lags,1,-0.03924826615233032,-0.03248043549107423
