date,model,horizon,forecast,actual
2025-09-01,AR_lags,6,0.10599364671612219,0.16250679118174163
2025-09-01,AR+_lags,6,0.10599364671611972,0.16250679118174163
2025-09-01,AR_ranks,6,0.23165970920937376,0.16250679118174163
2025-10-01,RW,6,0.25861313471869557,
2025-10-01,AR(1) on YoY,6,0.21510853766161103,
2025-10-01,AR_lags,6,0.17023972779809715,
2025-10-01,AR+_lags,6,0.1702397277980968,
2025-10-01,AR_ranks,6,0.25699120596099373,
2025-11-01,RW,6,0.23614068089886273,
2025-11-01,AR(1) on YoY,6,0.19745625618805276,
2025-11-01,AR_lags,6,0.18516187150703026,
2025-11-01,AR+_lags,6,0.1851618715070297,
2025-11-01,AR_ranks,6,0.2589395205751444,
2025-12-01,RW,6,0.19509726301295918,
2025-12-01,AR(1) on YoY,6,0.164810386105305,
2025-12-01,AR_lags,6,0.15467233395216967,
2025-12-01,AR+_lags,6,0.15467233395216937,
2025-12-01,AR_ranks,6,0.24007393890923698,
2026-01-01,RW,6,0.173892148250158,
2026-01-01,AR(1) on YoY,6,0.14782563123564152,
2026-01-01,AR_lags,6,0.15411034440174082,
2026-01-01,AR+_lags,6,0.15411034440174035,
2026-01-01,AR_ranks,6,0.22031337352083033,
2026-02-01,RW,6,0.15355821341334064,
2026-02-01,AR(1) on YoY,6,0.131613839467898,
2026-02-01,AR_lags,6,0.16899011263720398,
2026-02-01,AR+_lags,6,0.1689901126372035,
2026-02-01,AR_ranks,6,0.2014933040352072,
2026-03-01,RW,6,0.16250679118174163,
2026-03-01,AR(1) on YoY,6,0.13825950750902263,
2026-03-01,AR_lags,6,0.16226670293260934,
2026-03-01,AR+_lags,6,0.16226670293260878,
2026-03-01,AR_ranks,6,0.18414601374690048,
2005-12-01,RW,12,-0.016643081146180034,0.004168364873202712
2005-12-01,AR(1) on YoY,12,-0.006984032132041502,0.004168364873202712
2005-12-01,AR_lags,12,-0.003259193564469208,0.004168364873202712
2005-12-01,AR+_lags,12,-0.003579515415292853,0.004168364873202712
2005-12-01,AR_ranks,12,0.011281062347373985,0.004168364873202712
2006-01-01,RW,12,-0.013210394453840498,-0.0036122064102972473
2006-01-01,AR(1) on YoY,12,-0.006254382047829072,-0.0036122064102972473
2006-01-01,AR_lags,12,-0.006536274419672017,-0.0036122064102972473
2006-01-01,AR+_lags,12,-0.006499627844886682,-0.0036122064102972473
2006-01-01,AR_ranks,12,-0.014192539324002947,-0.0036122064102972473
2006-02-01,RW,12,-0.0011286262341296076,-0.013810011496799094
2006-02-01,AR(1) on YoY,12,-0.0033065781972240267,-0.013810011496799094
2006-02-01,AR_lags,12,-0.0029958059088265516,-0.013810011496799094
2006-02-01,AR+_lags,12,-0.003087392654105226,-0.013810011496799094
2006-02-01,AR_ranks,12,-0.014027430224426238,-0.013810011496799094
2006-03-01,RW,12,0.002733325026634444,-0.03268894225926614
2006-03-01,AR(1) on YoY,12,-0.0023129591222645195,-0.03268894225926614
2006-03-01,AR_lags,12,-0.0033755807327579324,-0.03268894225926614
2006-03-01,AR+_lags,12,-0.0032048048438284376,-0.03268894225926614
